Title,Artist
APT.,ROSÃ‰ & Bruno Mars
ASAP,STAYC
About Damn Time,Lizzo
After Like,IVE
Aku Yang Jatuh Cinta,Dudy Oris
Alcohol-Free,TWICE
Anti-Hero,Taylor Swift
Antifragile,LE SSERAFIM
Apa Mungkin,Bernadya
As It Was,Harry Styles
Attention,NewJeans
Automatic,Red Velvet
BIRDS OF A FEATHER,Billie Eilish
Back To Me,NMIXX
Back to You,Louis Tomlinson
Bad Boy,Red Velvet
Bad Habits,Ed Sheeran
Bawa Dia Kembali,Mahalini
Be Natural,Red Velvet
Beautiful Monster,STAYC
Beautiful Things,Benson Boone
Belong Together,Khalid
Bertaut,Nadin Amizah
Best Song Ever,One Direction
Better Than Words,One Direction
Blue Flame,LE SSERAFIM
Bunga Abadi,Rio Clappy
Butter,BTS
Butterfly,LOONA
Cheer Up,TWICE
Cheshire,ITZY
Cold Heart,Elton John & Dua Lipa
Cupid,FIFTY FIFTY
DICE,NMIXX
Dalla Dalla,ITZY
Dance the Night Away,TWICE
Defenceless,Louis Tomlinson
Ditto,NewJeans
Drag Me Down,One Direction
Driver's License,Olivia Rodrigo
Drunk Text,Henry Moodie
Duka,Last Child
Dumb Dumb,Red Velvet
Dynamite,BTS
Easy on Me,Adele
Eclipse,LOONA
Egoist,LOONA
Eleven,IVE
Fancy,TWICE
Favorite,LOONA
Fearless,LE SSERAFIM
Feel My Rhythm,Red Velvet
Feel Special,TWICE
Flip That,LOONA
Fortnight,Taylor Swift feat. Ed Sheeran
Gala Bunga Matahari,Sal Priadi
Good 4 U,Olivia Rodrigo
Habit,Louis Tomlinson
Happiness,Red Velvet
Heart Attack,LOONA
Heat Waves,Glass Animals
Here's Your Perfect,Jamie Miller
Hi High,LOONA
History,One Direction
How You Like That,BLACKPINK
Hwaa,(G)I-DLE
Hype Boy,NewJeans
I CAN'T STOP ME,TWICE
I'll Show You,LOONA
Ice Cream Cake,Red Velvet
Icy,ITZY
Industry Baby,Lil Nas X & Jack Harlow
Just Hold On,Louis Tomlinson
Kata Mereka Ini Berlebihan,Bernadya
Katchi Sera,Sai Abhyankkar
Kembali Pulang,Suara Kayu & Feby Putri
Kill My Mind,Louis Tomlinson
Kill This Love,BLACKPINK
Kini Mereka Tahu,Bernadya
Kiss You,One Direction
L,Hal
LOCO,ITZY
Lalisa,Lisa
Lama-Lama,Bernadya
Lantas,Juicy Luicy
Latata,(G)I-DLE
Levitating,Dua Lipa
Likey,TWICE
Lion,(G)I-DLE
Little Things,One Direction
Live While We're Young,One Direction
Love & Live,LOONA
Love Again,MIRA
Love Dive,IVE
Love Me Like This,NMIXX
Mafia in the Morning,ITZY
Masing Masing,Ernie Zakri & Ade Govinda
Mati-Matian,Mahalini
Midnight Memories,One Direction
Miss You,Louis Tomlinson
Money,Lisa
Monokrom,Tulus
My Bag,(G)I-DLE
My Love Mine All Mine,Mitski
Nanti Kita Seperti Ini,Batas Senja
New,LOONA
Night Changes,One Direction
No Control,One Direction
Not Shy,ITZY
Nxde,(G)I-DLE
O.O,NMIXX
OMG,NewJeans
Oh My God,(G)I-DLE
One Thing,One Direction
One of These Nights,Red Velvet
Only The Brave,Louis Tomlinson
PUSH 2 START,Tyla
Paint The Town,LOONA
Pandora,KARA
Peaches,Justin Bieber feat. Daniel Caesar
Peek-A-Boo,Red Velvet
Penjaga Hati,Nadhif Basalamah
Permission to Dance,BTS
Pesan Terakhir,Lyodra
Pink Venom,BLACKPINK
Power Up,Red Velvet
Psycho,Red Velvet
Queendom,Red Velvet
RUN2U,STAYC
Rahasia Hati,Nidji
Red Flavor,Red Velvet
Roller Coaster,STAYC
Rookie,Red Velvet
Runtuh,Feby Putri & Fiersa Besari
Russian Roulette,Red Velvet
Satu Bulan,Bernadya
Save Your Tears,The Weeknd
Scientist,TWICE
Seandainya,Vierra
Senorita,(G)I-DLE
Shake,Fantomel
Shivers,Ed Sheeran
Shut Down,BLACKPINK
Sialan,Adrian Khalif & Juicy Luicy
Signal,TWICE
Singing In The Rain,LOONA
Sneakers,ITZY
So Bad,STAYC
So What,LOONA
Star,LOONA
Stay,The Kid LAROI & Justin Bieber
Steal My Girl,One Direction
Stereotype,STAYC
Stockholm Syndrome,One Direction
Story of My Life,One Direction
Sweet Crazy Love,LOONA
TT,TWICE
Tak Dianggap,Lyodra
Tak Segampang Itu,Anggi Marito
Talk That Talk,TWICE
Tampar,Juicy Luicy
Teddy Bear,STAYC
The Feels,TWICE
Those Eyes,New West
Tomboy,(G)I-DLE
Too Young,Louis Tomlinson
Tunggu Apa Lagi,Nyoman Paul
Two of Us,Louis Tomlinson
Underwater,KARA
Unholy,Sam Smith & Kim Petras
"Untungnya, Hidup Harus Terus Berjalan",Bernadya
ViViD,LOONA
Walls,Louis Tomlinson
Wannabe,ITZY
Watermelon Sugar,Harry Styles
What Is Love,TWICE
What Makes You Beautiful,One Direction
Why Not?,LOONA
Yes or Yes,TWICE
You & I,One Direction
Young Luv,STAYC
Zimzalabim,Red Velvet
